origin,destination,carrier,month,day_of_week,port_congestion,weather_severity,is_holiday_season,is_monsoon,base_transit_days,delay_days
Colombo,Mumbai,ups,6,3,0.871,0.239,0,1,5,6.9
Shanghai,Mumbai,fedex,12,1,0.558,0.553,1,0,18,4.0
Singapore,Chennai,dhl,10,3,0.798,0.372,0,0,10,2.0
Shanghai,Kolkata,dhl,11,1,0.093,0.441,1,0,16,1.2
Colombo,Mumbai,msc,12,0,0.578,0.635,1,0,5,5.9
Shanghai,Kolkata,dhl,8,1,0.158,0.696,0,1,16,1.1
Dubai,Mumbai,ups,3,2,0.277,0.984,0,0,7,4.9
Shanghai,Mumbai,msc,1,6,0.184,0.894,1,0,18,1.5
Singapore,Chennai,cma_cgm,6,5,0.083,0.882,0,1,10,5.0
Singapore,Chennai,maersk,7,0,0.418,0.984,0,1,10,7.9
Singapore,Chennai,msc,6,1,0.427,0.162,0,1,10,7.2
Dubai,Mumbai,ups,9,2,0.527,0.719,0,1,7,3.2
Rotterdam,Mumbai,dhl,4,5,0.541,0.71,0,0,22,6.1
Singapore,Chennai,dhl,11,1,0.822,0.459,1,0,10,5.5
Dubai,Mumbai,msc,12,5,0.174,0.712,1,0,7,0.4
Colombo,Mumbai,fedex,1,4,0.42,0.905,1,0,5,4.4
Dubai,Mumbai,dhl,7,5,0.738,0.806,0,1,7,6.8
Hamburg,Kolkata,maersk,3,0,0.126,0.676,0,0,25,9.5
Singapore,Chennai,cma_cgm,9,3,0.227,0.837,0,1,10,2.4
Shanghai,Kolkata,maersk,4,1,0.513,0.305,0,0,16,6.2
Hamburg,Kolkata,msc,12,0,0.766,0.788,1,0,25,0.0
Rotterdam,Mumbai,fedex,3,0,0.874,0.0,0,0,22,1.3
Hamburg,Kolkata,cma_cgm,4,4,0.547,0.38,0,0,25,0.0
Hamburg,Kolkata,cma_cgm,11,3,0.018,0.421,1,0,25,5.8
Hamburg,Kolkata,maersk,3,1,0.699,0.839,0,0,25,0.8
Rotterdam,Mumbai,cma_cgm,9,2,0.628,0.533,0,1,22,1.8
Colombo,Mumbai,cma_cgm,5,4,0.068,0.263,0,0,5,3.5
Shanghai,Mumbai,dhl,8,3,0.301,0.598,0,1,18,0.0
Hamburg,Kolkata,dhl,4,2,0.903,0.852,0,0,25,0.0
Shanghai,Mumbai,ups,6,0,0.989,0.626,0,1,18,11.5
Colombo,Mumbai,cma_cgm,12,2,0.268,0.789,1,0,5,5.4
Rotterdam,Mumbai,ups,5,3,0.22,0.488,0,0,22,2.6
Shanghai,Mumbai,msc,3,0,0.065,0.956,0,0,18,9.8
Colombo,Mumbai,ups,7,6,0.082,0.911,0,1,5,2.3
Dubai,Mumbai,fedex,4,4,0.171,0.948,0,0,7,2.1
Hamburg,Kolkata,msc,9,4,0.64,0.676,0,1,25,4.0
Singapore,Chennai,ups,3,5,0.263,0.272,0,0,10,0.4
Dubai,Mumbai,dhl,1,6,0.407,0.891,1,0,7,6.5
Dubai,Mumbai,msc,10,0,0.45,0.473,0,0,7,4.0
Dubai,Mumbai,cma_cgm,3,4,0.474,0.591,0,0,7,6.0
Shanghai,Mumbai,cma_cgm,8,2,0.844,0.285,0,1,18,6.5
Shanghai,Kolkata,ups,5,0,0.219,0.397,0,0,16,0.0
Shanghai,Mumbai,ups,3,2,0.507,0.874,0,0,18,7.0
Rotterdam,Mumbai,maersk,3,2,0.131,0.275,0,0,22,0.0
Singapore,Chennai,ups,5,4,0.608,0.309,0,0,10,0.0
Rotterdam,Mumbai,fedex,7,3,0.821,0.002,0,1,22,2.1
Rotterdam,Mumbai,dhl,4,1,0.257,0.665,0,0,22,2.6
Shanghai,Mumbai,msc,2,4,0.121,0.419,0,0,18,1.6
Guangzhou,Kolkata,maersk,9,6,0.413,0.646,0,1,14,5.2
Guangzhou,Kolkata,fedex,3,2,0.599,0.502,0,0,14,2.2
Hamburg,Kolkata,maersk,5,1,0.53,0.829,0,0,25,2.4
Hamburg,Kolkata,fedex,1,0,0.422,0.295,1,0,25,20.0
Guangzhou,Kolkata,ups,5,5,0.559,0.343,0,0,14,1.3
Shanghai,Kolkata,dhl,6,3,0.387,0.852,0,1,16,2.0
Shanghai,Mumbai,ups,6,1,0.59,0.226,0,1,18,3.4
Colombo,Mumbai,maersk,3,3,0.579,0.759,0,0,5,4.3
Colombo,Mumbai,fedex,8,3,0.431,0.143,0,1,5,2.9
Colombo,Mumbai,dhl,1,6,0.154,0.025,1,0,5,3.5
Dubai,Mumbai,maersk,11,0,0.101,0.847,1,0,7,7.4
Colombo,Mumbai,fedex,4,3,0.56,0.105,0,0,5,1.0
Guangzhou,Kolkata,maersk,6,2,0.388,0.16,0,1,14,4.2
Guangzhou,Kolkata,cma_cgm,11,4,0.459,0.289,1,0,14,4.7
Shanghai,Kolkata,cma_cgm,4,1,0.827,0.984,0,0,16,6.6
Rotterdam,Mumbai,maersk,4,0,0.386,0.34,0,0,22,0.0
Shanghai,Mumbai,ups,2,4,0.762,0.834,0,0,18,5.1
Dubai,Mumbai,maersk,10,1,0.259,0.195,0,0,7,1.6
Singapore,Chennai,ups,12,2,0.558,0.347,1,0,10,3.8
Singapore,Chennai,ups,3,4,0.626,0.489,0,0,10,3.9
Shanghai,Mumbai,fedex,3,4,0.731,0.148,0,0,18,6.5
Rotterdam,Mumbai,dhl,5,3,0.907,0.132,0,0,22,11.7
Hamburg,Kolkata,ups,12,5,0.131,0.791,1,0,25,13.3
Singapore,Chennai,ups,1,3,0.467,0.034,1,0,10,1.9
Singapore,Chennai,cma_cgm,7,1,0.491,0.522,0,1,10,5.2
Hamburg,Kolkata,maersk,11,0,0.362,0.726,1,0,25,4.8
Singapore,Chennai,maersk,4,6,0.956,0.2,0,0,10,6.6
Shanghai,Mumbai,msc,1,0,0.847,0.893,1,0,18,10.3
Hamburg,Kolkata,ups,7,1,0.477,0.688,0,1,25,0.0
Dubai,Mumbai,maersk,6,1,0.134,0.299,0,1,7,5.4
Colombo,Mumbai,maersk,8,5,0.957,0.009,0,1,5,5.3
Dubai,Mumbai,fedex,8,1,0.828,0.295,0,1,7,6.1
Rotterdam,Mumbai,ups,8,4,0.822,0.809,0,1,22,9.8
Shanghai,Mumbai,msc,3,1,0.104,0.399,0,0,18,0.0
Singapore,Chennai,cma_cgm,6,2,0.349,0.111,0,1,10,5.7
Singapore,Chennai,ups,2,4,0.955,0.523,0,0,10,3.7
Shanghai,Kolkata,fedex,10,3,0.707,0.05,0,0,16,2.0
Guangzhou,Kolkata,fedex,8,6,0.211,0.863,0,1,14,0.0
Colombo,Mumbai,cma_cgm,7,2,0.022,0.583,0,1,5,2.6
Shanghai,Kolkata,dhl,1,0,0.219,0.034,1,0,16,1.2
Shanghai,Mumbai,cma_cgm,1,6,0.503,0.449,1,0,18,0.0
Guangzhou,Kolkata,msc,8,5,0.072,0.683,0,1,14,6.4
Singapore,Chennai,ups,8,6,0.553,0.52,0,1,10,2.6
Rotterdam,Mumbai,maersk,7,1,0.401,0.159,0,1,22,0.0
Shanghai,Mumbai,dhl,1,1,0.783,0.715,1,0,18,9.8
Hamburg,Kolkata,cma_cgm,1,6,0.583,0.467,1,0,25,8.7
Colombo,Mumbai,ups,12,2,0.827,0.13,1,0,5,5.2
Shanghai,Mumbai,maersk,2,3,0.572,0.907,0,0,18,4.2
Hamburg,Kolkata,msc,3,4,0.116,0.042,0,0,25,5.2
Rotterdam,Mumbai,dhl,12,2,0.844,0.676,1,0,22,4.2
Dubai,Mumbai,ups,5,0,0.278,0.13,0,0,7,0.0
Singapore,Chennai,dhl,9,4,0.475,0.634,0,1,10,0.0
Colombo,Mumbai,dhl,3,6,0.111,0.634,0,0,5,1.2
Dubai,Mumbai,msc,9,3,0.859,0.186,0,1,7,1.8
Guangzhou,Kolkata,dhl,9,5,0.472,0.88,0,1,14,8.7
Shanghai,Mumbai,msc,7,4,0.036,0.395,0,1,18,3.8
Hamburg,Kolkata,cma_cgm,1,3,0.085,0.043,1,0,25,1.0
Rotterdam,Mumbai,dhl,1,5,0.782,0.544,1,0,22,7.2
Rotterdam,Mumbai,ups,6,1,0.019,0.124,0,1,22,0.0
Guangzhou,Kolkata,maersk,9,2,0.404,0.531,0,1,14,4.4
Dubai,Mumbai,dhl,4,1,0.519,0.678,0,0,7,3.0
Singapore,Chennai,msc,1,3,0.976,0.126,1,0,10,6.5
Hamburg,Kolkata,ups,9,0,0.739,0.223,0,1,25,5.9
Shanghai,Mumbai,cma_cgm,12,2,0.663,0.548,1,0,18,7.8
Colombo,Mumbai,maersk,8,0,0.606,0.291,0,1,5,5.8
Rotterdam,Mumbai,cma_cgm,11,3,0.899,0.71,1,0,22,8.4
Rotterdam,Mumbai,msc,7,3,0.058,0.958,0,1,22,7.6
Shanghai,Mumbai,ups,8,3,0.544,0.963,0,1,18,4.6
Dubai,Mumbai,fedex,12,6,0.141,0.622,1,0,7,2.2
Guangzhou,Kolkata,maersk,3,2,0.982,0.527,0,0,14,8.8
Shanghai,Kolkata,msc,6,5,0.47,0.89,0,1,16,7.5
Shanghai,Mumbai,cma_cgm,2,1,0.147,0.008,0,0,18,0.0
Hamburg,Kolkata,dhl,2,5,0.53,0.242,0,0,25,14.6
Rotterdam,Mumbai,fedex,5,5,0.076,0.275,0,0,22,0.0
Guangzhou,Kolkata,cma_cgm,3,5,0.864,0.481,0,0,14,9.1
Rotterdam,Mumbai,maersk,12,0,0.137,0.995,1,0,22,0.0
Singapore,Chennai,cma_cgm,9,3,0.951,0.995,0,1,10,9.1
Colombo,Mumbai,maersk,10,5,0.57,0.26,0,0,5,5.3
Shanghai,Kolkata,cma_cgm,6,1,0.981,0.19,0,1,16,2.3
Dubai,Mumbai,ups,11,4,0.944,0.96,1,0,7,8.3
Shanghai,Kolkata,ups,10,5,0.718,0.247,0,0,16,3.2
Shanghai,Mumbai,maersk,7,0,0.163,0.565,0,1,18,3.8
Shanghai,Mumbai,ups,10,3,0.357,0.926,0,0,18,9.3
Guangzhou,Kolkata,maersk,5,1,0.322,0.848,0,0,14,2.1
Rotterdam,Mumbai,maersk,9,4,0.481,0.662,0,1,22,6.6
Guangzhou,Kolkata,msc,9,5,0.398,0.92,0,1,14,3.8
Singapore,Chennai,msc,5,5,0.918,0.951,0,0,10,9.0
Dubai,Mumbai,fedex,1,1,0.992,0.386,1,0,7,2.8
Shanghai,Mumbai,fedex,1,1,0.877,0.974,1,0,18,13.6
Shanghai,Kolkata,fedex,11,2,0.752,0.229,1,0,16,1.9
Singapore,Chennai,ups,11,2,0.428,0.326,1,0,10,5.6
Dubai,Mumbai,maersk,12,6,0.894,0.946,1,0,7,7.6
Singapore,Chennai,fedex,4,6,0.545,0.204,0,0,10,4.1
Colombo,Mumbai,dhl,3,6,0.033,0.636,0,0,5,0.0
Dubai,Mumbai,ups,1,2,0.095,0.827,1,0,7,2.0
Shanghai,Kolkata,ups,4,1,0.774,0.353,0,0,16,3.8
Shanghai,Mumbai,ups,8,3,0.425,0.038,0,1,18,8.3
Hamburg,Kolkata,ups,9,0,0.59,0.061,0,1,25,12.0
Colombo,Mumbai,cma_cgm,5,4,0.437,0.883,0,0,5,3.3
Hamburg,Kolkata,msc,12,3,0.224,0.663,1,0,25,9.0
Shanghai,Kolkata,fedex,2,5,0.325,0.713,0,0,16,3.8
Dubai,Mumbai,maersk,9,5,0.337,1.0,0,1,7,2.6
Hamburg,Kolkata,ups,6,4,0.15,0.381,0,1,25,0.0
Shanghai,Kolkata,fedex,10,2,0.269,0.518,0,0,16,4.1
Hamburg,Kolkata,dhl,1,3,0.949,0.632,1,0,25,0.0
Dubai,Mumbai,ups,5,5,0.781,0.708,0,0,7,1.9
Shanghai,Kolkata,maersk,6,0,0.122,0.125,0,1,16,2.2
Rotterdam,Mumbai,cma_cgm,9,0,0.031,0.052,0,1,22,0.5
Singapore,Chennai,msc,5,2,0.119,0.765,0,0,10,1.9
Colombo,Mumbai,ups,7,0,0.312,0.483,0,1,5,1.1
Singapore,Chennai,fedex,1,2,0.782,0.124,1,0,10,5.4
Hamburg,Kolkata,fedex,1,5,0.843,0.098,1,0,25,5.6
Hamburg,Kolkata,dhl,1,0,0.541,0.43,1,0,25,22.1
Rotterdam,Mumbai,maersk,6,4,0.962,0.714,0,1,22,8.2
Shanghai,Kolkata,msc,12,6,0.317,0.816,1,0,16,6.4
Shanghai,Mumbai,ups,8,6,0.313,0.935,0,1,18,0.0
Colombo,Mumbai,msc,1,0,0.02,0.391,1,0,5,4.3
Rotterdam,Mumbai,maersk,12,0,0.935,0.431,1,0,22,8.4
Colombo,Mumbai,maersk,1,5,0.084,0.333,1,0,5,4.5
Hamburg,Kolkata,ups,11,1,0.205,0.381,1,0,25,0.0
Shanghai,Kolkata,maersk,6,4,0.101,0.278,0,1,16,4.0
Guangzhou,Kolkata,fedex,9,0,0.011,0.45,0,1,14,3.3
Shanghai,Mumbai,ups,2,1,0.582,0.204,0,0,18,2.7
Shanghai,Mumbai,msc,7,2,0.605,0.517,0,1,18,8.7
Colombo,Mumbai,fedex,6,5,0.144,0.595,0,1,5,4.3
Dubai,Mumbai,ups,6,3,0.297,0.092,0,1,7,6.0
Shanghai,Kolkata,fedex,5,1,0.704,0.373,0,0,16,7.3
Dubai,Mumbai,fedex,9,0,0.672,0.584,0,1,7,1.8
Guangzhou,Kolkata,ups,4,0,0.117,0.449,0,0,14,1.7
Rotterdam,Mumbai,maersk,6,2,0.883,0.203,0,1,22,14.3
Shanghai,Mumbai,ups,12,0,0.015,0.583,1,0,18,5.9
Shanghai,Mumbai,dhl,4,2,0.958,0.399,0,0,18,2.6
Colombo,Mumbai,cma_cgm,6,0,0.498,0.743,0,1,5,6.0
Guangzhou,Kolkata,maersk,4,2,0.084,0.807,0,0,14,3.2
Dubai,Mumbai,dhl,11,1,0.996,0.229,1,0,7,6.5
Dubai,Mumbai,dhl,9,1,0.701,0.204,0,1,7,6.3
Shanghai,Kolkata,msc,1,0,0.016,0.077,1,0,16,4.6
Guangzhou,Kolkata,maersk,2,2,0.215,0.597,0,0,14,0.0
Shanghai,Kolkata,fedex,2,5,0.383,0.494,0,0,16,6.0
Shanghai,Kolkata,ups,8,5,0.397,0.514,0,1,16,6.8
Shanghai,Mumbai,dhl,6,2,0.538,0.269,0,1,18,0.7
Singapore,Chennai,dhl,6,4,0.666,0.787,0,1,10,9.5
Dubai,Mumbai,maersk,12,5,0.428,0.443,1,0,7,3.6
Singapore,Chennai,maersk,5,6,0.064,0.825,0,0,10,1.4
Shanghai,Mumbai,ups,4,5,0.503,0.056,0,0,18,0.0
Hamburg,Kolkata,msc,12,6,0.281,0.713,1,0,25,5.2
Hamburg,Kolkata,cma_cgm,5,4,0.07,0.186,0,0,25,0.3
Rotterdam,Mumbai,fedex,7,2,0.814,0.685,0,1,22,4.2
Singapore,Chennai,msc,12,2,0.515,0.536,1,0,10,4.7
Rotterdam,Mumbai,ups,10,3,0.873,0.828,0,0,22,8.0
Rotterdam,Mumbai,msc,10,0,0.506,0.941,0,0,22,1.9
Shanghai,Mumbai,dhl,5,4,0.393,0.553,0,0,18,0.0
Hamburg,Kolkata,ups,10,6,0.838,0.859,0,0,25,5.0
Dubai,Mumbai,cma_cgm,9,6,0.611,0.16,0,1,7,2.9
Hamburg,Kolkata,msc,7,4,0.165,0.002,0,1,25,6.2
Guangzhou,Kolkata,ups,6,3,0.515,0.161,0,1,14,1.6
Singapore,Chennai,maersk,4,1,0.519,0.608,0,0,10,1.3
Hamburg,Kolkata,cma_cgm,3,5,0.22,0.96,0,0,25,9.5
Shanghai,Kolkata,dhl,1,2,0.679,0.412,1,0,16,11.3
Guangzhou,Kolkata,dhl,2,1,0.412,0.871,0,0,14,4.5
Rotterdam,Mumbai,dhl,5,4,0.337,0.143,0,0,22,12.2
Guangzhou,Kolkata,dhl,7,4,0.392,0.896,0,1,14,4.5
Rotterdam,Mumbai,dhl,1,5,0.793,0.069,1,0,22,0.0
Rotterdam,Mumbai,maersk,5,2,0.689,0.253,0,0,22,10.0
Shanghai,Mumbai,cma_cgm,9,2,0.127,0.286,0,1,18,3.7
Shanghai,Kolkata,cma_cgm,3,2,0.855,0.883,0,0,16,3.4
Hamburg,Kolkata,dhl,8,1,0.902,0.203,0,1,25,4.6
Colombo,Mumbai,cma_cgm,6,3,0.182,0.743,0,1,5,4.5
Shanghai,Mumbai,ups,2,1,0.513,0.989,0,0,18,8.6
Singapore,Chennai,ups,11,1,0.321,0.22,1,0,10,1.0
Dubai,Mumbai,cma_cgm,4,2,0.369,0.045,0,0,7,0.0
Shanghai,Kolkata,maersk,11,5,0.218,0.662,1,0,16,4.1
Singapore,Chennai,fedex,8,6,0.049,0.581,0,1,10,2.5
Shanghai,Mumbai,fedex,10,4,0.521,0.35,0,0,18,7.0
Dubai,Mumbai,ups,3,3,0.742,0.17,0,0,7,4.7
Shanghai,Mumbai,msc,6,4,0.159,0.258,0,1,18,0.0
Guangzhou,Kolkata,msc,10,4,0.542,0.758,0,0,14,10.5
Singapore,Chennai,fedex,11,5,0.386,0.589,1,0,10,5.2
Guangzhou,Kolkata,cma_cgm,12,1,0.507,0.188,1,0,14,1.3
Shanghai,Mumbai,fedex,2,1,0.383,0.822,0,0,18,7.3
Colombo,Mumbai,cma_cgm,6,0,0.264,0.939,0,1,5,5.6
Hamburg,Kolkata,ups,1,5,0.27,0.191,1,0,25,0.0
Singapore,Chennai,cma_cgm,10,6,0.777,0.822,0,0,10,6.8
Colombo,Mumbai,cma_cgm,8,3,0.774,0.748,0,1,5,6.3
Rotterdam,Mumbai,cma_cgm,6,4,0.879,0.243,0,1,22,3.6
Rotterdam,Mumbai,msc,8,5,0.667,0.323,0,1,22,9.0
Colombo,Mumbai,ups,6,1,0.845,0.249,0,1,5,4.9
Hamburg,Kolkata,ups,6,2,0.999,0.327,0,1,25,10.5
Guangzhou,Kolkata,maersk,11,2,0.571,0.304,1,0,14,7.2
Rotterdam,Mumbai,dhl,3,3,0.892,0.849,0,0,22,3.8
Singapore,Chennai,ups,3,5,0.014,0.764,0,0,10,1.3
Guangzhou,Kolkata,dhl,4,6,0.837,0.62,0,0,14,10.1
Rotterdam,Mumbai,ups,10,2,0.581,0.991,0,0,22,9.2
Shanghai,Kolkata,maersk,11,1,0.707,0.389,1,0,16,7.6
Colombo,Mumbai,maersk,2,6,0.619,0.633,0,0,5,2.8
Rotterdam,Mumbai,maersk,5,3,0.494,0.861,0,0,22,7.7
Hamburg,Kolkata,maersk,11,4,0.675,0.678,1,0,25,6.2
Guangzhou,Kolkata,maersk,5,3,0.5,0.691,0,0,14,6.9
Guangzhou,Kolkata,cma_cgm,3,0,0.636,0.599,0,0,14,8.4
Shanghai,Kolkata,msc,6,5,0.58,0.453,0,1,16,5.0
Colombo,Mumbai,cma_cgm,4,5,0.91,0.639,0,0,5,4.3
Guangzhou,Kolkata,cma_cgm,2,4,0.834,0.643,0,0,14,5.7
Singapore,Chennai,maersk,6,3,0.032,0.423,0,1,10,2.4
Hamburg,Kolkata,dhl,4,3,0.246,0.691,0,0,25,2.1
Dubai,Mumbai,maersk,5,6,0.287,0.803,0,0,7,8.4
Dubai,Mumbai,maersk,4,4,0.897,0.623,0,0,7,5.3
Shanghai,Kolkata,ups,4,3,0.067,0.975,0,0,16,3.4
Shanghai,Mumbai,dhl,10,5,0.306,0.552,0,0,18,0.2
Guangzhou,Kolkata,fedex,11,3,0.055,0.942,1,0,14,7.9
Colombo,Mumbai,msc,5,3,0.973,0.759,0,0,5,6.1
Colombo,Mumbai,maersk,8,4,0.233,0.13,0,1,5,3.7
Shanghai,Kolkata,msc,1,3,0.674,0.063,1,0,16,7.4
Shanghai,Kolkata,fedex,6,6,0.987,0.271,0,1,16,4.0
Hamburg,Kolkata,fedex,7,2,0.563,0.804,0,1,25,6.5
Colombo,Mumbai,cma_cgm,8,2,0.003,0.174,0,1,5,1.4
Shanghai,Kolkata,dhl,1,6,0.984,0.396,1,0,16,3.2
Guangzhou,Kolkata,dhl,6,4,0.347,0.547,0,1,14,6.4
Singapore,Chennai,dhl,10,6,0.045,0.126,0,0,10,3.0
Colombo,Mumbai,msc,10,2,0.523,0.471,0,0,5,4.2
Shanghai,Mumbai,msc,12,5,0.838,0.361,1,0,18,5.8
Shanghai,Kolkata,msc,11,0,0.514,0.903,1,0,16,9.8
Rotterdam,Mumbai,dhl,1,4,0.51,0.736,1,0,22,10.5
Hamburg,Kolkata,msc,12,6,0.932,0.742,1,0,25,8.2
Dubai,Mumbai,cma_cgm,6,3,0.165,0.854,0,1,7,0.0
Colombo,Mumbai,cma_cgm,6,6,0.571,0.143,0,1,5,4.4
Hamburg,Kolkata,maersk,10,2,0.894,0.337,0,0,25,7.9
Rotterdam,Mumbai,cma_cgm,4,0,0.025,0.253,0,0,22,9.3
Rotterdam,Mumbai,fedex,4,6,0.589,0.752,0,0,22,10.3
Shanghai,Mumbai,msc,4,4,0.232,0.265,0,0,18,8.9
Shanghai,Mumbai,ups,1,1,0.237,0.949,1,0,18,5.2
Dubai,Mumbai,fedex,11,4,0.468,0.466,1,0,7,5.7
Shanghai,Mumbai,ups,7,1,0.76,0.513,0,1,18,6.8
Guangzhou,Kolkata,ups,2,4,0.674,0.763,0,0,14,4.5
Colombo,Mumbai,dhl,8,2,0.615,0.911,0,1,5,5.8
Shanghai,Kolkata,msc,1,0,0.438,0.839,1,0,16,18.0
Shanghai,Mumbai,msc,3,2,0.449,0.237,0,0,18,4.1
Colombo,Mumbai,maersk,12,0,0.611,0.2,1,0,5,4.4
Dubai,Mumbai,maersk,7,2,0.652,0.211,0,1,7,7.3
Colombo,Mumbai,cma_cgm,6,1,0.318,0.749,0,1,5,5.0
Dubai,Mumbai,cma_cgm,8,0,0.283,0.419,0,1,7,2.1
Guangzhou,Kolkata,maersk,7,3,0.597,0.653,0,1,14,2.0
Colombo,Mumbai,cma_cgm,12,1,0.62,0.6,1,0,5,4.1
Shanghai,Mumbai,maersk,4,1,0.456,0.678,0,0,18,4.1
Shanghai,Mumbai,dhl,4,6,0.436,0.794,0,0,18,0.0
Colombo,Mumbai,maersk,12,0,0.089,0.992,1,0,5,4.4
Shanghai,Mumbai,msc,8,1,0.929,0.062,0,1,18,1.8
Hamburg,Kolkata,ups,9,6,0.502,0.247,0,1,25,5.6
Hamburg,Kolkata,cma_cgm,10,0,0.751,0.754,0,0,25,10.3
Rotterdam,Mumbai,maersk,10,2,0.056,0.007,0,0,22,1.6
Singapore,Chennai,dhl,5,3,0.411,0.402,0,0,10,1.4
Shanghai,Kolkata,dhl,6,0,0.73,0.94,0,1,16,7.6
Rotterdam,Mumbai,dhl,4,0,0.822,0.173,0,0,22,0.0
Rotterdam,Mumbai,fedex,10,5,0.596,0.434,0,0,22,2.8
Rotterdam,Mumbai,dhl,10,4,0.355,0.045,0,0,22,0.0
Dubai,Mumbai,cma_cgm,8,6,0.7,0.411,0,1,7,6.1
Guangzhou,Kolkata,dhl,4,0,0.083,0.254,0,0,14,0.0
Rotterdam,Mumbai,ups,8,2,0.981,0.215,0,1,22,6.5
Shanghai,Mumbai,maersk,2,0,0.7,0.617,0,0,18,3.1
Shanghai,Kolkata,fedex,11,6,0.561,0.246,1,0,16,5.9
Singapore,Chennai,fedex,9,6,0.97,0.431,0,1,10,5.1
Singapore,Chennai,dhl,12,0,0.458,0.227,1,0,10,3.5
Shanghai,Kolkata,dhl,1,0,0.578,0.359,1,0,16,5.8
Hamburg,Kolkata,maersk,8,5,0.806,0.328,0,1,25,8.5
Guangzhou,Kolkata,ups,1,5,0.467,0.482,1,0,14,3.3
Shanghai,Kolkata,ups,6,4,0.385,0.459,0,1,16,5.4
Rotterdam,Mumbai,maersk,12,5,0.679,0.077,1,0,22,14.6
Shanghai,Kolkata,ups,10,3,0.25,0.654,0,0,16,0.0
Guangzhou,Kolkata,fedex,4,0,0.928,0.845,0,0,14,2.9
Shanghai,Kolkata,maersk,11,6,0.662,0.077,1,0,16,3.0
Dubai,Mumbai,msc,4,2,0.403,0.834,0,0,7,4.9
Shanghai,Mumbai,maersk,2,0,0.444,0.75,0,0,18,8.6
Hamburg,Kolkata,fedex,5,6,0.395,0.182,0,0,25,3.5
Hamburg,Kolkata,msc,10,3,0.518,0.71,0,0,25,2.3
Dubai,Mumbai,cma_cgm,8,6,0.731,0.958,0,1,7,7.6
Colombo,Mumbai,msc,3,6,0.635,0.63,0,0,5,4.3
Dubai,Mumbai,cma_cgm,10,5,0.531,0.677,0,0,7,7.3
Dubai,Mumbai,cma_cgm,7,4,0.008,0.943,0,1,7,3.0
Rotterdam,Mumbai,cma_cgm,12,3,0.768,0.5,1,0,22,0.0
Guangzhou,Kolkata,dhl,5,1,0.573,0.325,0,0,14,1.2
Dubai,Mumbai,maersk,10,2,0.713,0.697,0,0,7,2.5
Dubai,Mumbai,ups,6,5,0.441,0.132,0,1,7,1.8
Hamburg,Kolkata,maersk,11,1,0.026,0.604,1,0,25,11.5
Shanghai,Mumbai,maersk,9,0,0.181,0.623,0,1,18,8.3
Shanghai,Kolkata,ups,4,6,0.417,0.16,0,0,16,0.9
Shanghai,Mumbai,fedex,10,0,0.69,0.341,0,0,18,0.0
Shanghai,Kolkata,dhl,9,5,0.16,0.336,0,1,16,2.2
Rotterdam,Mumbai,ups,6,4,0.305,0.265,0,1,22,2.7
Hamburg,Kolkata,fedex,12,0,0.42,0.051,1,0,25,4.0
Guangzhou,Kolkata,maersk,5,2,0.583,0.011,0,0,14,1.3
Singapore,Chennai,maersk,10,3,0.364,0.566,0,0,10,7.9
Colombo,Mumbai,cma_cgm,8,3,0.426,0.832,0,1,5,6.8
Shanghai,Mumbai,ups,1,3,0.817,0.93,1,0,18,6.5
Rotterdam,Mumbai,msc,5,5,0.28,0.332,0,0,22,0.0
Shanghai,Kolkata,ups,4,3,0.759,0.728,0,0,16,10.1
Singapore,Chennai,maersk,10,4,0.805,0.76,0,0,10,4.9
Singapore,Chennai,ups,4,0,0.268,0.361,0,0,10,5.0
Rotterdam,Mumbai,cma_cgm,4,5,0.392,0.697,0,0,22,0.0
Rotterdam,Mumbai,maersk,6,4,0.345,0.337,0,1,22,0.4
Dubai,Mumbai,maersk,6,5,0.875,0.791,0,1,7,6.3
Singapore,Chennai,dhl,4,1,0.397,0.156,0,0,10,0.0
Guangzhou,Kolkata,msc,12,1,0.03,0.445,1,0,14,7.8
Shanghai,Kolkata,msc,3,1,0.794,0.659,0,0,16,8.5
Dubai,Mumbai,ups,2,2,0.411,0.427,0,0,7,2.7
Singapore,Chennai,dhl,7,4,0.43,0.279,0,1,10,4.4
Singapore,Chennai,dhl,1,2,0.992,0.294,1,0,10,10.9
Singapore,Chennai,ups,10,6,0.253,0.866,0,0,10,1.6
Guangzhou,Kolkata,maersk,1,5,0.603,0.683,1,0,14,9.0
Singapore,Chennai,cma_cgm,4,5,0.143,0.018,0,0,10,2.6
Shanghai,Mumbai,ups,8,0,0.652,0.251,0,1,18,4.2
Hamburg,Kolkata,ups,6,0,0.849,0.045,0,1,25,0.0
Guangzhou,Kolkata,dhl,2,3,0.332,0.465,0,0,14,5.5
Shanghai,Mumbai,fedex,9,1,0.842,0.483,0,1,18,8.3
Singapore,Chennai,cma_cgm,11,1,0.664,0.965,1,0,10,9.4
Rotterdam,Mumbai,msc,5,3,0.166,0.025,0,0,22,5.1
Rotterdam,Mumbai,fedex,8,5,0.8,0.863,0,1,22,0.0
Hamburg,Kolkata,cma_cgm,4,4,0.293,0.525,0,0,25,6.4
Shanghai,Mumbai,dhl,4,3,0.946,0.296,0,0,18,5.1
Colombo,Mumbai,ups,11,2,0.924,0.326,1,0,5,6.0
Hamburg,Kolkata,cma_cgm,12,0,0.665,0.557,1,0,25,0.1
